route,airline_or_mode,out_date,return_date,stops,duration_door_to_door,fare_band_usd_return,native_price,group_booking_option,group_terms,price_flag,sources,access_date,confidence,notes
PHL-SJU return,American nonstop (7/week) and Frontier nonstop (18/week) - ADVERTISED (snippet); Spirit unverified,2026-11-25,2026-11-29,0,Flight ~3 h 55 out / ~4 h 15 back; PHL door to La Parguera door ~9-10 h (2.5-3 h drive from SJU incl. car pick-up),Frontier one-way from USD 62-70 in early/mid Nov 2026 (Discount Den may apply) -> ~USD 125-140 return base before bags/seats - ADVERTISED (snippet); Thanksgiving-week fares not visible - QUOTE NEEDED; planning band USD 250-650 return (Frontier with bag and seat on holiday dates to AA) - INFERRED,USD,AA Group & Meeting Travel (10+ pax) via aa.com/groups; Frontier/Spirit group desks,unknown; AA groups typically hold a fare with a deposit and name changes to ~T-14 - VERIFY,ADVERTISED (snippet) for Frontier base; Thanksgiving-week band INFERRED / QUOTE NEEDED,https://www.skyscanner.com/routes/phl/sju/philadelphia-international-to-san-juan-luis-munoz-marin.html ; https://flights.flyfrontier.com/en/flights-to-san-juan ; https://www.aa.com/en-us/flights-from-philadelphia-to-san-juan (accessed 2026-09-21 via snippet),2026-09-21,medium on schedule; low on holiday fare,Preferred option. Fly early Wed to reach La Parguera by mid-afternoon; Sun return after 12:00 to respect 18 h no-fly from a Sat lunchtime last dive.
PHL-SJU return,American nonstop (7/week) and Frontier nonstop (18/week) - ADVERTISED (snippet); Spirit unverified,2026-11-19,2026-11-24,0,as above,"Frontier base as above (ADVERTISED snippet, early/mid Nov); planning band USD 250-600 return - INFERRED; QUOTE NEEDED",USD,as above,unknown,ADVERTISED (snippet) for Frontier base; Thanksgiving-week band INFERRED / QUOTE NEEDED,https://www.skyscanner.com/routes/phl/sju/philadelphia-international-to-san-juan-luis-munoz-marin.html ; https://flights.flyfrontier.com/en/flights-to-san-juan ; https://www.aa.com/en-us/flights-from-philadelphia-to-san-juan (accessed 2026-09-21 via snippet),2026-09-21,medium on schedule; low on holiday fare,Cheaper outbound but return lands in the pre-holiday rush; four class days missed.
PHL-BQN (Aguadilla) return,"No nonstop visible; JetBlue via FLL (9 h 45 total) - ADVERTISED (snippet). Frontier, JetBlue and Avelo serve BQN from other cities",2026-11-25,2026-11-29,1,9 h 45 flight time via FLL - ADVERTISED (snippet); plus 1 h 30 drive BQN-La Parguera -> ~12 h door to door; no time advantage over SJU nonstop,not visible - QUOTE NEEDED,USD,airline group desks (10+),unknown,QUOTE NEEDED; routing ADVERTISED (snippet),https://bw.wego.com/schedules/phl/bqn/flight-schedules-from-philadelphia-pa-to-aguadilla ; https://flights.flyfrontier.com/en/flights-to-aguadilla (accessed 2026-09-21 via snippet),2026-09-21,medium that no nonstop exists,Dropped from the base case: one-stop via FLL is slower than SJU nonstop plus the drive. Keep only if a participant finds a cheap fare.
PHL-BQN return,"No nonstop visible; JetBlue via FLL (9 h 45 total) - ADVERTISED (snippet). Frontier, JetBlue and Avelo serve BQN from other cities",2026-11-19,2026-11-24,1,9 h 45 flight time via FLL - ADVERTISED (snippet); plus 1 h 30 drive BQN-La Parguera -> ~12 h door to door; no time advantage over SJU nonstop,not visible - QUOTE NEEDED,USD,as above,unknown,QUOTE NEEDED; routing ADVERTISED (snippet),https://bw.wego.com/schedules/phl/bqn/flight-schedules-from-philadelphia-pa-to-aguadilla ; https://flights.flyfrontier.com/en/flights-to-aguadilla (accessed 2026-09-21 via snippet),2026-09-21,medium that no nonstop exists,Dropped from the base case: one-stop via FLL is slower than SJU nonstop plus the drive. Keep only if a participant finds a cheap fare.
PHL-FLL return (Tiger Beach leg 1),"American, Spirit, Frontier, JetBlue nonstop (multiple daily)",2026-11-25,2026-11-29,0,~2 h 50 flight,PRIOR KNOWLEDGE USD 250-500 (Thanksgiving-week Florida peak),USD,airline group desks,unknown,QUOTE NEEDED / band INFERRED,"No fare lookup possible on 2026-09-21 (search budget exhausted, fetch blocked). Band = prior-knowledge Thanksgiving-week range. Check aa.com / flyfrontier.com / spirit.com and Google Flights.",2026-09-21,low,Connect same day to FPO; allow 2.5 h at FLL for the international connection.
PHL-FLL return,as above,2026-11-19,2026-11-24,0,~2 h 50,PRIOR KNOWLEDGE USD 200-450,USD,as above,unknown,QUOTE NEEDED,"No fare lookup possible on 2026-09-21 (search budget exhausted, fetch blocked). Band = prior-knowledge Thanksgiving-week range. Check aa.com / flyfrontier.com / spirit.com and Google Flights.",2026-09-21,low,unknown
FLL-FPO (Freeport) return (Tiger Beach leg 2),"Bahamasair, about 8 flights/week, 1 h 15 - ADVERTISED (snippet). Silver Airways status unverified; Tropic Ocean Airways is charter-priced",2026-11-25 / 2026-11-19,2026-11-29 / 2026-11-24,0,1 h 15 flight; FPO to West End 40 min (resort figure); PHL door to Old Bahama Bay door ~9-10 h,"USD 271-313 average return; one-way from USD 129 - ADVERTISED (snippet, aggregator)",USD/BSD at par,Bahamasair group desk - ask,unknown,"ADVERTISED (snippet, aggregator); dated fares QUOTE NEEDED",https://www.kayak.com/flight-routes/Fort-Lauderdale-FLL/Freeport-Grand-Bahama-Intl-FPO ; https://expedia.com/lp/flights/fll/fpo/fort-lauderdale-to-freeport (accessed 2026-09-21 via snippet),2026-09-21,medium,Combined PHL-FLL-FPO planning band USD 520-810 return. Only ~8 weekly Bahamasair flights: confirm a same-day connection from an early PHL departure on Wed 25 / Thu 19 and back on Sun 29 / Tue 24.
FLL (Port Everglades)-Freeport ferry,"Balearia Caribbean fast ferry, Port Everglades Terminal 21 - Freeport; about 3 h; departs 09:00; two to three sailings a week (typically Wed and Sun); passport required - ADVERTISED (snippet)",2026-11-25 / 2026-11-19,2026-11-29 / 2026-11-24,0,~3 h sailing plus ~2 h check-in; requires an overnight in Fort Lauderdale before the 09:00 departure -> PHL door to West End door ~24 h with the overnight,Return from USD 240; day-trip fares USD 225 economy / USD 245 premium - ADVERTISED (snippet),USD,group sales on baleariacaribbean.com - ask,unknown,ADVERTISED (snippet); sailing days on 25/29 Nov and 19/24 Nov QUOTE NEEDED,https://www.baleariacaribbean.com/en/fort-lauderdale-grand-bahama ; https://www.baleariacaribbean.com/en/routes-and-schedules ; https://ferrytobahamas.com/routes/others/fort-lauderdale/ferry-from-fort-lauderdale-to-freeport.php (accessed 2026-09-21 via snippet),2026-09-21,medium on price; low on dates,"Wed 25 and Sun 29 Nov match the typical Wed/Sun pattern (INFERRED fit - verify); Thu 19 and Tue 24 Nov do not. The 09:00 departure forces a Tue-night FLL hotel, which erodes the saving versus Bahamasair (USD 271-313)."
Car hire SJU or BQN -> La Parguera (group),Avis/Hertz/Enterprise/Charlie Car Rental at SJU; smaller pool at BQN,2026-11-25 / 2026-11-19,2026-11-29 / 2026-11-24,n/a,"SJU-La Parguera ~2 h 30-3 h via PR-52/PR-2/PR-116 (tolls, AutoExpreso tag); BQN-La Parguera ~1 h 30; La Parguera-Rincon ~1 h 15","PRIOR KNOWLEDGE: mid-size car USD 60-100/day (Thanksgiving) -> 3 cars x 5 days USD 900-1,500 + fuel/tolls ~USD 200 = USD 110-170 pp at 10; 12-passenger van USD 180-300/day -> USD 1,000-1,600 + fuel = USD 110-170 pp at 10 (van needs one driver 25+ and luggage space is tight with dive gear)",USD,n/a,n/a,INFERRED band,"No fare lookup possible on 2026-09-21 (search budget exhausted, fetch blocked). Band = prior-knowledge Thanksgiving-week range. Check aa.com / flyfrontier.com / spirit.com and Google Flights.",2026-09-21,low,At 8 pax: 2 cars; at 10-12: 3 cars or 1 van + 1 car. Under-25 driver surcharges apply to most MBA students under 25 (few).
Transfers FPO -> West End (Old Bahama Bay),"Taxi/minibus (~40 km, 45 min) or hire car (Freeport)",as above,as above,n/a,40 min (Old Bahama Bay figure) - ADVERTISED (snippet),PRIOR KNOWLEDGE taxi ~USD 80-120 per vehicle each way (4-6 pax) -> USD 30-60 pp return; hire car USD 70-100/day,USD/BSD,resort may arrange minibus - ask Old Bahama Bay,unknown,INFERRED band,"No fare lookup possible on 2026-09-21 (search budget exhausted, fetch blocked). Band = prior-knowledge Thanksgiving-week range. Check aa.com / flyfrontier.com / spirit.com and Google Flights.",2026-09-21,low,"If lodging in Lucaya instead, add a daily 06:30 transfer to West End on shark days (USD 30-50 pp per day INFERRED)."
